feature,pr_auc_drop,pr_auc_perm
zone_out_dist,0.10688097567512406,0.4958765824357744
plate_z,0.04206527245746883,0.5606922856534297
strikes,0.029497951338066986,0.5732596067728315
plate_x_batter,0.026406001625691067,0.5763515564852074
az,0.01853862232181669,0.5842189357890818
plate_z_rel,0.017859284857944857,0.5848982732529536
pfx_x_norm,0.009899969944380249,0.5928575881665182
vy0,0.00979171469179474,0.5929658434191037
release_pos_x_batter,0.008071806182770702,0.5946857519281278
effective_speed,0.0077803422438478265,0.5949772158670507
spin_axis,0.006446758847120315,0.5963107992637782
release_pos_z_batter,0.005470486662483953,0.5972870714484145
ay,0.0053641780097531955,0.5973933801011453
pfx_z,0.005065707559508192,0.5976918505513903
ax,0.004532441333359172,0.5982251167775393
release_spin_rate,0.00451250074634546,0.598245057364553
vx0,0.0027985629523243905,0.5999589951585741
x_out_mag,0.002706458664309741,0.6000510994465887
zone_height,0.002530193917400614,0.6002273641934979
sz_top,0.0024050015638975575,0.6003525565470009
sz_bot,0.0021087384101126094,0.6006488197007859
vz0,0.0020286633806136933,0.6007288947302848
in_zone,0.001498122469813401,0.6012594356410851
release_pos_y,0.0008629855414497012,0.6018945725694488
p_throws_L,0.0006410758989928711,0.6021164822119056
count_state_0-0,0.0006265646654740609,0.6021309934454244
outs_when_up,0.0005572800956306079,0.6022002780152679
stand_L,0.00039934826974241666,0.6023582098411561
balls,0.00030195099262386726,0.6024556071182746
z_out_signed,0.00027845710181129135,0.6024791010090872
batting_score_diff,0.00024722831632051356,0.602510329794578
any_runner_on,0.00024124275061387923,0.6025163153602846
risp,0.0002355702375711477,0.6025219878733273
release_extension,0.0001990698076739239,0.6025584883032246
z_out_signed_rel,0.00014236095973862994,0.6026151971511599
same_side,0.00011258399110414263,0.6026449741197943
bases_loaded,0.00010972220936378285,0.6026478359015347
p_throws_R,0.0001095776619890465,0.6026479804489094
score_bucket_tied,0.00010240150833462636,0.6026551566025639
runner_on_1b,7.819018451471482e-05,0.6026793679263838
count_state_1-2,6.697484981654789e-05,0.6026905832610819
x_out_signed_batter,3.9159675332856025e-05,0.6027183984355656
stand_R,3.5468559859364035e-05,0.6027220895510391
runner_on_3b,2.6685069844045728e-05,0.6027308730410544
count_state_3-2,2.495556829695822e-05,0.6027326025426015
count_state_1-0,1.7077024036749044e-05,0.6027404810868617
count_state_3-1,1.4858637067960423e-05,0.6027426994738305
two_strikes,1.4700355581487301e-05,0.602742857755317
count_state_2-2,1.334646248951632e-05,0.602744211648409
count_state_1-1,1.3097218673818745e-05,0.6027444608922247
count_state_3-0,1.0219826229729279e-05,0.6027473382846688
count_state_2-0,9.697361124993975e-06,0.6027478607497735
score_bucket_lead_5plus,3.96450126871617e-06,0.6027535936096298
score_bucket_trail_5plus,3.0711791942916733e-06,0.6027544869317042
count_state_2-1,-7.611652366623645e-06,0.6027651697632651
runner_on_2b,-1.1779126863564748e-05,0.602769337237762
score_bucket_lead_1-2,-2.6510763571074847e-05,0.6027840688744696
count_state_0-2,-2.848520437503943e-05,0.6027860433152735
score_bucket_trail_2-1,-3.2008974730546313e-05,0.602789567085629
count_state_0-1,-3.763614208218691e-05,0.6027951942529807
score_bucket_trail_4-3,-4.1260666522102696e-05,0.6027988187774206
score_bucket_lead_3-4,-4.660065418504722e-05,0.6028041587650835
